alim_nom_fr;Energie (kcal/100 g);Proteines (g/100 g);Glucides (g/100 g);Lipides (g/100 g)
Eau minerale Contrex, embouteillee, non gazeuse, fortement mineralisee (Contrexeville, 88);0;0;0;0
Eau minerale Dax, embouteillee, non gazeuse, moyennement mineralisee (Dax, 40);0;0;0;0
Eau minerale Didier, embouteillee, gazeuse, fortement mineralisee (Martinique);0;0;0;0
Eau minerale Didier, embouteillee non gazeuse, fortement mineralisee (Martinique);0;0;0;0
Eau minerale Evian, embouteillee, non gazeuse, faiblement mineralisee (Evian, 74);0;0;0;0
Eau minerale Hepar, embouteillee, non gazeuse, fortement mineralisee (Vittel, 88);0;0;0;0
Eau minerale Hydroxydase, embouteillee, gazeuse, fortement mineralisee (Le Breuil sur Couze, 63);0;0;0;0
Eau minerale Verniere, embouteillee, gazeuse, moyennement mineralisee (Les Aires, 34);0;0;0;0
Eau minerale Luchon, embouteillee, non gazeuse, faiblement mineralisee (Luchon, 31);0;0;0;0
Eau minerale Mont-Roucous, embouteillee, tres faiblement mineralisee (Lacaune, 81);0;0;0;0
Eau de source Ogeu, embouteillee, faiblement mineralisee (Ogeu, 64);0;0;0;0
Eau minerale Oree du bois, embouteillee, non gazeuse, moyennement mineralisee (St-Amand, 59);0;0;0;0
Eau minerale Orezza, embouteillee, gazeuse, moyennement mineralisee (Rapaggio, 20B);0;0;0;0
Eau minerale Parot, embouteillee, gazeuse, moyennement mineralisee (St-Romain-le-Puy, 42);0;0;0;0
Eau minerale Plancoet, embouteillee, gazeuse ou non gazeuse, faiblement mineralisee (Plancoet, 22);0;0;0;0
Eau minerale Propiac, embouteillee, non gazeuse, fortement mineralisee (Propiac, 26);0;0;0;0
Eau minerale Puits St-Georges, embouteillee, gazeuse, moyennement mineralisee (St-Romain-le-Puy, 42);0;0;0;0
Eau minerale Quezac, embouteillee, gazeuse, moyennement mineralisee (Quezac, 48);0;0;0;0
Eau minerale Reine des basaltes, embouteillee, gazeuse, moyennement mineralisee (Asperjoc, 07);0;0;0;0
Eau minerale Rozana, embouteillee, gazeuse, fortement mineralisee (Beauregard, 63);0;0;0;0
Eau minerale Sail-les-Bains, embouteillee, non gazeuse, faiblement mineralisee (Sail-les-Bains, 42);0;0;0;0
Eau minerale Salvetat, embouteillee, gazeuse, moyennement mineralisee (La Salvetat, 34);0;0;0;0
Eau minerale St-Amand, embouteillee, gazeuse ou non gazeuse, moyennement mineralisee (St-Amand, 59);0;0;0;0
Eau minerale St-Antonin, embouteillee, non gazeuse, fortement mineralisee (St-Antonin-Noble-Val, 82);0;0;0;0
Eau minerale St-Diery, embouteillee, gazeuse, fortement mineralisee (St-Diery, 63);0;0;0;0
Eau minerale Ste-Marguerite, embouteillee, gazeuse, moyennement mineralisee (St-Maurice, 63);0;0;0;0
Eau minerale St-Yorre, embouteillee, gazeuse, fortement mineralisee (Saint-Yorre, 03);0;0;0;0
Eau minerale Thonon, embouteillee, non gazeuse, faiblement mineralisee (Thonon, 74);0;0;0;0
Eau minerale Ventadour, embouteillee, gazeuse, faiblement mineralisee (Le Pestrin, 07);0;0;0;0
Eau minerale Vernet, embouteillee, gazeuse, faiblement mineralisee (Prades, 07);0;0;0;0
Eau minerale Vichy Celestins, embouteillee, gazeuse, fortement mineralisee (Saint-Yorre, 03);0;0;0;0
Eau minerale Vittel, embouteillee, non gazeuse, moyennement mineralisee (Vittel, 88);0;0;0;0
Eau minerale Volvic, embouteillee, non gazeuse, faiblement mineralisee (Volvic, 63);0;0;0;0
Eau minerale Volvic active, embouteillee, gazeuse, faiblement mineralisee (Volvic, 63);0;0;0;0
Eau minerale Wattwiller, embouteillee, gazeuse ou non gazeuse, faiblement mineraliseee (Wattwiller, 68);0;0;0;0
Eau minerale Perrier, embouteillee, gazeuse, faiblement mineralisee (Vergese, 30);0;0;0;0
Eau minerale Badoit, embouteillee, gazeuse, moyennement mineralisee (St-Galmier, 42);0;0;0;0
Eau minerale Avra, embouteillee, non gazeuse, faiblement mineralisee (Grece);0;0;0;0
Eau minerale Beckerich, embouteillee, non gazeuse, faiblement mineralisee (Luxembourg);0;0;0;0
Eau minerale Chaudfontaine, embouteillee, non gazeuse, faiblement mineralisee (Belgique);0;0;0;0
Eau minerale Christinen Brunnen, embouteillee, non gazeuse, moyennement mineralisee (Allemagne);0;0;0;0
Eau minerale Courmayeur, embouteillee, non gazeuse, fortement mineralisee (Italie);0;0;0;0
Eau minerale Levissima, embouteillee, non gazeuse, faiblement mineralisee (Italie);0;0;0;0
Eau minerale Luso, embouteillee, non gazeuse, tres faiblement mineralisee (Portugal);0;0;0;0
Eau minerale Nero, embouteillee, non gazeuse, faiblement mineralisee (Grece);0;0;0;0
Eau minerale Penacova, embouteillee, non gazeuse, tres faiblement mineralisee (Portugal);0;0;0;0
Eau minerale San Bernardo, embouteillee, tres faiblement mineralisee (Italie);0;0;0;0
Eau minerale San Pellegrino, embouteillee, gazeuse, moyennement mineralisee (Italie);0;0;0;0
Eau minerale Spa-Reine, embouteillee, gazeuse ou non non gazeuse, moyennement mineralisee (Belgique);0;0;0;0
Eau minerale Valvert, embouteillee, non gazeuse, faiblement mineralisee (Belgique);0;0;0;0
Eau minerale Appollinaris, embouteillee, non gazeuse, fortement mineralisee (Allemagne);0;0;0;0
Eau de source Cristaline, embouteillee, non gazeuse;0;0;0;0
Eau minerale Biovive, embouteillee, non gazeuse, faiblement mineralisee (Dax, 40);0;0;0;0
Eau minerale La Cairolle, embouteillee, non gazeuse, fortement mineralisee (Les Aires, 34);0;0;0;0
Eau minerale Cilaos, embouteillee, gazeuse, fortement mineralisee (Cilaos, 974);0;0;0;0
Eau minerale La Franeaise, embouteillee, non gazeuse, fortement mineralisee (Propiac, 26);0;0;0;0
Eau minerale Montcalm, embouteillee, non gazeuse, tres faiblement mineralisee (Auzat, 09);0;0;0;0
Eau minerale Montclar, embouteillee, non gazeuse, faiblement mineralisee (Montclar, 04);0;0;0;0
Eau minerale Nessel, embouteillee, gazeuse, moyennement mineralisee (Soultzmatt, 68);0;0;0;0
Eau minerale Ogeu, embouteillee, gazeuse, faiblement mineralisee (Ogeu-les-Bains, 64);0;0;0;0
Eau minerale Ogeu, embouteillee, non gazeuse, faiblement mineralisee (Ogeu-les-Bains, 64);0;0;0;0
Eau minerale Prince Noir, embouteillee, non gazeuse, fortement mineralisee (St-Antonin-Noble-Val, 82);0;0;0;0
Eau minerale St-Alban, embouteillee, gazeuse, moyennement mineralisee (St-Alban, 42);0;0;0;0
Eau minerale St-Geron, embouteillee, gazeuse, moyennement mineralisee (St-Geron, 43);0;0;0;0
Eau minerale St-Michel-de-Mourcairol, embouteillee, gazeuse, moyennement mineralisee (Les Aires, 34);0;0;0;0
Eau minerale Treignac, embouteillee, non gazeuse, tres faiblement mineralisee (Treignac, 19);0;0;0;0
Eau minerale Vals, embouteillee, gazeuse, moyennement mineralisee (Vals-les-Bains, 07);0;0;0;0
Eau minerale Vauban, embouteillee, non gazeuse, moyennement mineralisee (St-Amand-les-Eaux, 59);0;0;0;0
Eau minerale Carola, embouteillee, gazeuse ou non gazeuse, moyennement mineralisee (Ribeauville, 68);0;0;0;0
Eau minerale Mont-Blanc, embouteillee, non gazeuse, faiblement mineralisee (Italie);0;0;0;0
Eau minerale Eden (La Goa), embouteillee, non gazeuse, faiblement mineralisee (Suisse);0;0;0;0
Jus d'ananas, e base de concentre;52,3;0,41;11,9;0,096
Jus de fruits (aliment moyen);47;0,52;9,58;0,14
Jus d'orange, e base de concentre;45,6;0,63;9,59;0,13
Jus de pomme, e base de concentre;48,5;0,24;11,3;0,098
Jus de pamplemousse (pomelo), e base de concentre;40,9;0,52;8,41;0,1
Jus de raisin, pur jus;69,2;0,25;16,3;0,057
Jus de raisin, e base de concentre;68,8;0,31;16;0,11
Jus de tomate, pur jus, sale e 3 g/L;23,2;0,88;4,13;0,17
Jus de pamplemousse (pomelo), pur jus;42,5;0,49;8,89;0,083
Jus de tomate, pur jus, sale e 6g/L;20,1;0,88;3,31;0,11
Jus multifruit, pur jus, standard;48,9;< 0,5;11,2;< 0,3
Jus de tomate, pur jus (aliment moyen);21,7;0,88;3,72;0,14
Jus d'orange, pur jus;45,4;0,61;9,61;0,11
Jus de fruits, pur jus (aliment moyen);46,9;0,51;9,32;0,14
Jus d'ananas, pur jus;52,9;0,41;12,1;0,074
Jus de pomme, pur jus;48,9;0,17;11,4;0,14
Jus de legumes, pur jus (aliment moyen);21,7;0,72;4,66;0,13
Jus de fruits, e base de concentre (aliment moyen);47,1;0,54;10,5;0,13
Nectar multifruit, standard;49,7;0,3;11,5;0,089
Eau de coco;15,2;< 0,42;3,33;< 0,3
Cola, sucre;41,8;0,093;10,2;0,062
Boisson gazeuse aux fruits (de 10 e 50% de jus), sucree;46,6;0,067;11,3;0,028
Kombucha, preemballe;9,46;< 0,5;1,45;< 0,3
Boisson gazeuse, sans jus de fruit, sucree;37,1;0,14;8,67;0,078
Boisson gazeuse aux fruits (teneur en jus non specifiee), sucree (aliment moyen);46,6;0,068;11,2;0,03
Cola, non sucre, avec edulcorants;1,3;0,081;0,11;0,053
Boisson au the, aromatisee, teneur en sucre et edulcorant inconnue (aliment moyen);27,3;0,028;6,11;0,0092
Cola, teneur en sucre et edulcorant inconnue (aliment moyen);30,7;0,089;7,45;0,059
Cola, sucre, sans cafeine;43,8;traces;11;traces
Cola, non sucre, avec edulcorants, sans cafeine;0,87;0;0,2;0
Boisson au the, aromatisee, sucree;27,3;0,033;6,76;< 0,022
Boisson au jus de fruit et au lait;47,5;0,56;9,63;0,3
Boisson lactee aromatisee au chocolat, sucree, au lait partiellement ecreme, enrichie et/ou restauree en vitamines et/ou mineraux;63,8;2,75;10,8;0,99
Boisson lactee aromatisee e la fraise, sucree, au lait partiellement ecreme, enrichie e la vitamine D;52,6;2,17;10;0,45
Lait de coco ou Creme de coco;188;1,77;3,4;18,4
Boisson e l'amande, nature, non sucree, non enrichie, preemballee;36,3;1,06;0,68;3,2
Boisson e l'amande, sucree, enrichie en calcium, preemballee;44,4;0,69;3,96;2,8
Boisson au soja, nature, non enrichie, preemballee;37,1;3,31;0,7;2,07
Boisson au soja, nature, enrichie en calcium, preemballee;44,2;3,42;2,18;2,05
Boisson au soja, aromatisee, sucree, non enrichie, preemballee;60,5;2,96;7,24;1,92
Boisson au soja, aromatisee, sucree, enrichie en calcium, preemballee;42,8;3,01;2,89;1,8
Boisson au riz, nature, preemballee;53,7;< 0,46;10,8;1
Boisson e base d'avoine, nature, preemballee;42,6;< 0,46;7,8;1,1
Boisson e la chetaigne, nature, preemballee;68,9;< 0,42;13,5;1,4
Boisson e la noix de coco, nature, preemballee;31,4;< 0,42;2,75;2,1
Boisson au soja et jus de fruits concentres, preemballee;56,2;2,3;9,5;1
Cafe, non instantane, non sucre, pret e boire;6,88;< 0,5;1,35;0,018
The infuse, non sucre;0,063;0;0;0,007
Tisane infusee, non sucree;0,87;0;0,2;0,008
Cafe decafeine, non instantane, non sucre, pret e boire;4,42;0,1;0,6;0,18
Cafe expresso, non instantane, non sucre, pret e boire;7,64;< 0,5;1,16;0,2
Cafe decafeine, instantane, non sucre, pret e boire;2,1;0,12;0,4;0,002
Cafe, instantane, non sucre, pret e boire;1,64;0,1;0,3;0,004
Boisson cacaotee ou au chocolat, instantanee, sucree, prete e boire (reconstituee avec du lait demi-ecreme standard);69,3;3,78;9,5;1,42
Boisson cacaotee ou au chocolat, instantanee, sucree, enrichie en vitamines, prete e boire (reconstituee avec du lait demi-ecreme standard);71,9;4,08;9,91;1,71
Cafe au lait, cafe creme ou cappuccino, instantane ou non, non sucre, pret e boire;21,5;1,39;2,31;0,76
Chicoree et cafe, instantane, non sucre, prete e boire (reconstituee avec du lait demi-ecreme standard);53,7;3,74;5,9;1,62
The noir, infuse, non sucre;1,26;0;0,3;0,007
The vert, infuse, non sucre;5,1;0;1,09;0
The oolong, infuse, non sucre;0;0;0;0
Chicoree, instantanee, non sucree, prete e boire (reconstituee avec du lait demi-ecreme standard);93,5;traces;7,1;7,1
Chicoree et cafe, instantane, non sucre, pret e boire (reconstituee avec de l'eau);28,7;0,56;6,06;< 0,3
Cafe, moulu;397;14,4;40,2;15,4
Cafe, poudre soluble;296;19,4;42,6;1,1
Sirop e diluer, sucre;255;< 0,5;62,6;< 0,5
"Boisson concentree e diluer, sans sucres ajoutes, avec edulcorants, type ""sirop 0%""";21,7;< 0,5;2,76;< 0,5
Cafe, decafeine, poudre soluble;357;12,7;76;0,2
The, feuille;232;19,4;6,3;2
Cacao, non sucre, poudre soluble;387;22,4;11,6;20,6
Poudre cacaotee ou au chocolat pour boisson, sucree;379;6,65;75,6;3,29
Chicoree et cafe, poudre soluble;332;9,3;66,9;0,35
Chicoree, poudre soluble;323;3,3;57,2;2,5
Cafe au lait ou cappuccino, poudre soluble;416;12,2;70,1;8,8
Cafe au lait ou cappuccino au chocolat, poudre soluble;402;11,2;67,1;9,13
Poudre cacaotee ou au chocolat sucree pour boisson, enrichie en vitamines et mineraux;376;4,68;79,3;3,04
Poudre cacaotee ou au chocolat pour boisson, sucree, enrichie en vitamines;386;4,29;85;2,04
Citron ou Lime, specialite e diluer pour boissons, sans sucres ajoutes;19,7;< 0,5;1,31;0
Vin rouge;82,1;0,07;2,63;0
Cidre doux;37,5;< 0,5;5,09;< 0,6
Biere blanche;34,6;< 0,5;0,43;< 0,6
Cidre bouche demi-sec;48;< 0,5;4,4;< 0,6
Cidre aromatise (framboise);35,4;< 0,5;5,34;< 0,6
Biere sans alcool (<1,2e alcool);25,3;0,31;4,89;< 0,05
Pastis;274;0;2,86;0
Eau de vie;229;0;0,37;0
Gin;265;0;0;0
Liqueur;328;0,1;39,6;0,3
Rhum;256;0;0;0
Whisky;252;0;0,096;0
Vodka;242;0;0;0
Pastis, pret e boire (1+ 5);27,6;0;6,89;0
Alcool pur;660;0;0;0
Marsala;211;0,1;27,9;0
Marsala aux oeufs;153;0;12,4;0
Creme de cassis;245;0;41;0
Eau de vie de vin, type armagnac, cognac;228;0;1;0
Sake ou Alcool de riz;133;0;5;0
Panache (limonade et biere);36,2;0;5,63;0
Panache preemballe (<1e alc,);25,4;0,48;4,93;< 0,05
edulcorant e l'aspartame, en pastilles;216;6,35;69,3;0
edulcorant e base d'extrait de stevia;238;traces;98;0,2
Barre chocolatee biscuitee;523;6,14;60,5;28,1
Barre chocolatee non biscuitee enrobee;496;3,7;66,4;24,1
Barre e la noix de coco, enrobee de chocolat;475;3,88;60,2;23,8
Chocolat au lait, tablette;537;7,5;55,6;30,8
Barres ou confiserie chocolatees au lait;551;8,75;50,9;34,2
Chocolat au lait sans sucres ajoutes, avec edulcorants, tablette;487;5,75;54,2;34,6
Chocolat noir sans sucres ajoutes, avec edulcorants, en tablette;525;8,48;34,1;42,3
Confiserie au chocolat drageifiee;505;5,49;65;24,3
Cacahuetes enrobees de chocolat drageifiees;499;9,5;55,9;25
Chocolat noir aux fruits secs (noisettes, amandes, raisins, praline), tablette;567;8,69;40,7;39
Barre chocolatee aux fruits secs;494;7,23;57,6;26
Chocolat noir e 70% cacao minimum, extra, degustation, tablette;591;10,4;26,9;46,3
Barre chocolat au lait avec nougat;532;5,8;60,5;29
Chocolat, en tablette (aliment moyen);557;7,81;45,3;36,1
Chewing-gum, sucre;372;< 0,5;90,6;0,32
Pete de fruits;336;1,69;76,6;1,8
Marron glace;324;0,94;79,5;< 0,5
Fruit confit;298;< 0,5;72,3;< 0,3
Chewing-gum, sans sucre;228;0,69;78,1;0,45
Calissons d'Aix en Provence;440;7,88;60,3;18
Chewing-gum, teneur en sucre inconnue (aliment moyen);279;0,53;82,5;0,41
Confiture ou Marmelade, tout type de fruits, teneur en sucre inconnue (aliment moyen);228;0,37;56,5;0,29
Confiture ou Marmelade, tout type de fruits (aliment moyen);249;0,29;60,2;0,31
Confiture de fraise (extra ou classique);251;< 0,5;60,5;0,5
Confiture d'abricot (extra ou classique);247;< 0,5;59,7;0,3
Marmelade d'orange;246;< 0,5;59,3;0,4
Confiture de myrtilles (extra ou classique);246;< 0,5;58,9;0,4
Gelee de groseille (extra ou classique);246;< 0,5;59,6;< 0,3
Confiture, tout type de fruits, allegee en sucres (extra ou classique);162;0,75;38;< 0,3
Pain brioche ou viennois;356;9,76;55,5;9,38
Viennoiserie (aliment moyen);380;7,77;49,1;16,2
Croissant, sans precision;375;6,65;40,4;20
Croissant ordinaire, artisanal;412;6,33;47,6;21,1
Croissant au beurre, artisanal;420;6,61;45,7;22,6
Croissant aux amandes, artisanal;446;7,62;35,9;29,1
Pain au lait, artisanal;382;8,55;50,6;15,4
Pain au lait, preemballe;359;8,94;52,2;12,3
Pain au lait aux pepites de chocolat, preemballe;369;8,51;52;13,5
Pain aux raisins (viennoiserie);333;5,11;55,9;9
Pain au chocolat feuillete, artisanal;423;7,47;45,4;22,5
Pain au chocolat, preemballe;425;6,9;46,8;22,3
Brioche (ou briochettes) aux pepites de chocolat, preemballee;348;8,56;51,6;11,2
Brioche fourree au chocolat;351;7,47;53,2;11,6
Brioche fourree aux fruits, preemballee;346;6,9;50,5;12,1
"Brioche fourree creme petissiere (type ""chinois""), preemballee";300;6,22;49,2;8,41
Brioche, preemballee;354;8,13;52,7;11,8
Brioche, sans precision;401;11,3;46;19,1
Brioche, de boulangerie traditionnelle;374;9,81;49,2;14,7
Couronne de Noel (Brioche) aux fruits confits, preemballee;355;7,2;53,3;12,3
Brioche pur beurre, preemballee;366;8;51,6;14
Chouquette;381;7,76;42,6;18,6
Chausson aux pommes;338;4,17;36,6;18,7
Biscuit aux cereales pour petit dejeuner, enrichis en vitamines et mineraux;445;7,44;67,7;15,7
Biscuit sec fourre fruits e coque (non ou legerement chocolate);511;5,5;59,8;27,2
Florentin (biscuit sec sucre chocolate aux amandes);514;9,31;50,7;28,7
Gaufrette, fourree vanille, preemballee;538;5,75;60,1;30,1
Biscuit sec ou tuile, aux amandes;471;7,8;68;18,1
Biscuit sec type tuile, aux fruits;384;5,43;74,9;8,28
Biscuit sec (genoise) nappage aux fruits, type barquette;341;4,44;74,4;2,1
Grains de ble souffles au miel ou caramel, enrichis en vitamines et mineraux;391;8;82,2;2,2
Cereales pour petit dejeuner chocolatees, non fourrees, enrichies en vitamines et mineraux;408;8,13;70,4;8,9
Cereales pour petit dejeuner riches en fibres, avec ou sans fruits, enrichies en vitamines et mineraux;360;11,5;59,3;4,42
Cereales pour petit dejeuner (aliment moyen);398;7,78;75,3;6,08
Muesli (aliment moyen);418;7,49;66,6;12,2
Petales de maes natures, enrichis en vitamines et mineraux;377;7,4;83,2;0,87
Riz souffle nature, enrichi en vitamines et mineraux;391;6,66;87;1,5
Cereales pour petit dejeuner riches en fibres, au chocolat, enrichies en vitamines et mineraux;386;10,7;64;6,75
Petales de ble chocolates, enrichis en vitamines et mineraux;388;9,04;77,7;3,24
Petales de ble chocolates (non enrichis en vitamines et mineraux);388;8,48;80,1;2,64
Riz souffle chocolate (non enrichi en vitamines et mineraux);388;6,01;84,2;2,2
Cereales chocolatees pour petit dejeuner, non fourrees, (non enrichies en vitamines et mineraux);386;7,73;79,6;2,93
Petales de maes natures (non enrichis en vitamines et mineraux);380;8,14;82,8;1,05
Cereales pour petit dejeuner fourrees au chocolat ou chocolat-noisettes, enrichies en vitamines et mineraux;433;7,81;69,2;13
Cereales pour petit dejeuner fourrees au chocolat ou chocolat-noisettes;442;7,33;67,2;14,8
Cereales pour petit dejeuner fourrees, fourrage autre que chocolat, enrichies en vitamines et mineraux;419;8,42;64,7;13,3
"Cereales pour petit dejeuner ""equilibre"" nature ou au miel, enrichies en vitamines et mineraux";382;11,4;78,6;1,65
"Cereales pour petit dejeuner ""equilibre"" au chocolat, enrichies en vitamines et mineraux";394;7,5;73,9;5,9
"Cereales pour petit dejeuner ""equilibre"" aux fruits, enrichies en vitamines et mineraux";378;10,5;77,9;1,74
"Cereales pour petit dejeuner ""equilibre"" aux fruits secs (e coque), enrichis en vitamines et mineraux";394;8,91;75,5;4,93
"Cereales pour petit dejeuner ""equilibre"" au chocolat (non enrichies en vitamines et mineraux)";411;10,3;74,6;7,01
"Cereales pour petit dejeuner ""equilibre"" aux fruits (non enrichies en vitamines et mineraux)";378;10,5;78,7;1,4
"Cereales pour petit dejeuner ""equilibre"" nature (non enrichies en vitamines et mineraux)";379;11,3;79;1,25
Cereales pour petit dejeuner, enrichies en vitamines et mineraux (aliment moyen);401;7,51;75;6,77
Cereales pour petit dejeuner, non enrichies en vitamines et mineraux (aliment moyen);388;8,23;79,2;3,24
Petales de maes glaces au sucre (non enrichis en vitamines et mineraux);379;4,4;88;0,6
Muesli croustillant aux fruits et/ou fruits secs, graines (non enrichi en vitamines et mineraux);436;8,88;59,7;16,7
Muesli croustillant au chocolat (non enrichi en vitamines et mineraux);442;8,57;63,2;16,7
Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et mineraux;361;9,19;65,4;5
Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et mineraux;460;5,67;68,4;17,3
Muesli croustillant au chocolat, avec ou sans fruits, enrichi en vitamines et mineraux;451;9,13;62,7;16,7
Muesli floconneux aux fruits ou fruits secs, sans sucres ajoutes;400;10,7;61,6;11
Grains de ble souffles chocolates, enrichis en vitamines et mineraux;385;8,82;75,2;4,01
Cereales pour petit dejeuner tres riches en fibres, enrichies en vitamines et mineraux;338;14;49;3,5
Petales de maes glaces au sucre, enrichis en vitamines et mineraux;374;5,77;84,7;0,63
Petales de ble avec noix, noisettes ou amandes, enrichis en vitamines et mineraux;386;10,3;67,9;6,3
Muesli floconneux ou de type traditionnel;382;10,6;68,5;4,83
Boules de maes soufflees au miel (non enrichies en vitamines et mineraux);393;5,71;86,2;2,35
Ble khorasan complet souffle;378;6,68;80,5;1,96
Riz souffle chocolate, enrichi en vitamines et mineraux;390;6,22;83,2;2,82
Boules de maes soufflees au miel, enrichies en vitamines et mineraux;384;5,5;85,3;1,8
Cereales completes soufflees, enrichies en vitamines et mineraux;385;7,42;76,8;3,85
Multi-cereales soufflees ou extrudees, enrichies en vitamines et mineraux;392;7,39;79,4;4,27
Muesli floconneux aux fruits ou fruits secs (non enrichi en vitamines et mineraux);369;9,5;61,7;6,9
Muesli enrichi en vitamines et mineraux (aliment moyen);424;6,96;67,3;12,8
Flocon d'avoine precuit;370;11;58;7,7
Muesli non enrichi en vitamines et mineraux (aliment moyen);401;9,2;60,7;11,6
Barre cerealiere pour petit dejeuner au lait, chocolatee ou non, enrichie en vitamines et mineraux;382;7,06;79,5;3,2
"Barre cerealiere ""equilibre"" aux fruits, enrichie en vitamines et mineraux";379;6,13;72,8;6,53
"Barre cerealiere ""equilibre"" chocolatee, enrichie en vitamines et mineraux";418;5,99;72,9;10,9
Barre cerealiere dietetique hypocalorique;386;5,9;65,3;11,2
Barre cerealiere chocolatee;451;6,55;73;14,9
Barre cerealiere aux fruits;377;5,49;73,5;7,07
Barre cerealiere aux amandes ou noisettes;444;8,69;60,6;18,2
Baba au rhum, preemballe;169;2,83;23,6;3,86
Brownie au chocolat, preemballe;458;5,94;50,6;25,4
Tarte normande aux pommes (garniture farine, oeufs, creme, sucre, calvados);313;4,44;38,7;15
Gaufre fine fourree au miel, preemballee;455;4,56;67;18,3
Beignet rond moelleux, sans fourrage, saupoudre de sucre;404;7,25;39,4;23,7
Beignet e la confiture;378;6,36;45,6;18,7
Beignet fourre aux fruits, preemballe;362;5,65;47,6;16
Beignet fourre goet chocolat, preemballe;420;7,31;45,9;22,5
Cake aux fruits, preemballe;360;4,19;55,2;12,6
Barre glacee chocolatee;359;5,12;35,8;21,4
Glace ou creme glacee, betonnet, enrobe de chocolat;328;3,42;33,4;19,8
Profiterole avec glace vanille et sauce chocolat;286;5,38;31,4;14,9
Peche melba;119;2,06;18,8;3,62
Dessert glace type mystere ou vacherin;275;3,18;40,5;10,7
Dessert glace, type sundae;230;2,57;32,6;9,7
Dessert glace feuillete, e partager;262;2,71;26,2;16,1
Omelette norvegienne;212;3,6;34,8;6,5
Poire belle Helene;196;2,74;23,5;9,57
Nougat glace;263;4,93;25,3;15,2
Citron givre ou Orange givree (sorbet);133;0,14;29,1;1,77
Coupe glacee type cafe ou chocolat liegeois;220;3,04;28,6;10
Beche glacee;226;2,47;30;10,4
Coupe glacee parfum peche Melba ou poire Belle-Helene;163;0,91;32,2;3,36
Beurre e 82% MG, doux;753;0,7;0,9;82,9
Beurre e 80% MG, demi-sel;738;0,72;0,55;81,4
Beurre e 80% MG, sale;732;0,5;0,68;80,8
Beurre e 82% MG, doux, tendre;755;0,7;0,5;83,4
Beurre e 60-62% MG, e teneur reduite en matiere grasse, doux;550;0,56;0,7;60,6
Beurre e 60-62% MG, e teneur reduite en matiere grasse, demi-sel;555;0,9;0,5;61
Beurre ou assimile allege (leger ou e teneur reduite en matiere grasse), doux (aliment moyen);368;0,33;3,73;38,9
Beurre e teneur en matiere grasse inconnue (allege ou non), demi-sel (aliment moyen);727;0,73;0,55;80,2
Beurre ou assimile e teneur en matiere grasse inconnue, doux (aliment moyen);741;0,69;0,99;81,5
Beurre e 39-41% MG, leger, doux;391;< 0,5;3,6;41,7
"Matiere grasse laitiere e 25% MG, legere, ""e tartiner"", doux";247;0,4;3,8;25,6
"Matiere grasse laitiere e 20% MG, legere, ""e tartiner"", doux";201;< 0,5;6,2;19,1
Huile ou beurre de cacao;900;0;0;100
Huile ou graisse de coco (coprah), sans precision;900;0;0;100
Huile ou graisse de coco (coprah), raffinee;900;0;0;100
Matiere grasse ou graisse vegetale solide (type margarine) pour friture;899;< 0,5;0;99,8
Huile ou beurre de karite;900;0;0;100
Huile pour friture, sans precision;900;0;0;100
Huile de palme, sans precision;900;0;0;100
Huile de palme raffinee;900;0;0;100
Huile ou graisse de palmiste, sans precision;900;0;0;100
Huile vegetale (aliment moyen);900;0,21;0;99,9
Huile d'amandes d'abricot;900;0;0;100
Huile d'amande;900;0;0;100
Huile d'arachide;900;< 0,5;0;99,9
Huile d'avocat;900;0;0;100
Huile de germe de ble;900;0;0;100
Huile de carthame;900;0;0;100
Huile de colza;900;0;0;100
Huile de coton;900;0;0;100
Huile de lin;900;0;0;100
Huile de maes;900;0;0;100
Huile de noisette;900;0;0;100
Huile de noix;900;0;0;100
Huile d'olive vierge extra;900;< 0,5;0;99,9
Huile de pavot;900;0;0;100
Huile de pepins de raisin;900;0;0;100
Huile de son de riz;900;0;0;100
Huile de sesame;900;0;0;100
Huile de soja;900;0;0;100
Huile de tournesol;901;< 0,5;0;100
Huile combinee (melange d'huiles);896;0;0;99,5
Huile combinee, melange d'huile d'olive et de graines;900;0;0;100
Huile d'argan ou d'argane;889;0;0;98,7
Matiere grasse vegetale (type margarine) e 80% MG, salee;722;< 0,5;< 0,5;80
Matiere grasse vegetale ou margarine, 80% MG, doux;726;0,39;0,3;80,4
Matiere grasse vegetale (type margarine) e 70% MG, doux;631;0,13;0,24;70
Matiere grasse vegetale (type margarine) e 60% de MG, allegee, au tournesol, doux;548;< 0,5;< 0,55;60,6
Matiere grasse vegetale (type margarine), teneur en matiere grasse inconue, doux (aliment moyen);608;0,16;0,24;67,4
Matiere grasse vegetale (type margarine), teneur reduite en matiere grasse inconnue, doux (aliment moyen);532;0,28;0,24;58,9
Matiere grasse vegetale (type margarine), e tartiner, e 30-40% MG, legere, doux;366;1,44;3;38,6
Matiere grasse vegetale (type margarine), e tartiner, e 30-40% MG, legere, demi-sel;358;0,9;3,05;38
Matiere grasse vegetale (type margarine), e tartiner, e 30-40% MG, legere, doux, riche en omega 3;349;0;0;38,8
Matiere grasse vegetale (type margarine) e 50-63% MG, allegee, doux, riche en omega 3;521;0,15;0,18;57,8
