alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g)
Lin, brun, graine;466,040;18;3,56;42,2
Cacahuète, grillée, sans sel ajouté;605,900;23,4;11,3;51,9
Beurre de cacahuète ou Pâte d'arachide;625,700;22,2;16,1;52,5
Tahin ou Purée de sésame;606,600;17,7;13,8;53,4
Arachide, bouillie/cuite à l'eau, salée;298,160;15,5;9,54;22
Riz thaï ou basmati, cuit, non salé;124,640;2,86;28,3;0,000
Blini;259,520;5,98;33,7;11,2
Galette de maïs soufflé;43,620;7,08;0,000;1,7
Saucisse fumée, à cuire;343,500;16,8;0,000;30,7
Saucisse alsacienne fumée ou Gendarme;300,100;19;0,000;24,9
Merguez, pur boeuf, crue;435,500;11;0,000;43,5
Merguez, porc et boeuf, crue;415,000;11,5;0,000;41
Merguez, boeuf, mouton et porc, crue;358,100;14,6;0,000;33,3
Diot, cru;342,000;18;0,000;30
Saucisse viennoise, crue;232,900;10,3;0,000;21,3
Saucisse de bière;319,300;13;0,000;29,7
Saucisse de langue à la pistache;293,400;15,3;0,000;25,8
Pâté au jambon;318,200;15,2;0,000;28,6
Quenelle de poisson, cuite;140,780;5,72;0,000;13,1
Oeuf au jambon en gelée;88,300;11,5;0,000;4,7
Boudin antillais, à cuire;231,300;11,5;9,2;16,5
Boudin blanc, sauté/poêlé;211,860;9,89;4,6;17,1
Boudin blanc, à cuire;229,000;10;0,000;21
Saucisson de cheval type cervelas;236,800;14,2;0,000;20
Haché à base de boeuf ou Préparation de viande hachée de boeuf, 15% MG, cru, prémeballé;195,520;15,8;2,48;13,6
Bigorneau, cuit;96,700;16,3;0,000;3,5
Crevette rose bouquet, cuite;102,630;22,8;0,000;1,27
Langoustine, bouillie/cuite à l'eau;92,420;20,9;0,000;0,98
Araignée de mer, cuite;107,400;18,3;0,000;3,8
Crevette pattes blanches, cuite;99,040;22,6;0,000;0,96
Crevette géante tigrée, cuite;102,420;23,4;0,000;0,98
Crevette royale rose, cuite;117,020;26,6;0,000;1,18
Grenouille, cuisse, grillée/poêlée;95,700;21,9;0,000;0,9
Oeufs de truite, semi-conserve;190,700;26,3;0,000;9,5
Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, avec édulcorants, allégé en sucres, 0% MG, au L Casei;27,060;2,9;3,64;0,1
Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré, au L Casei;75,720;2,81;12,7;1,52
Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré, enrichi en vitamine D;73,520;3,08;12,6;1,2
Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré, enrichie en vitamine D;81,220;3,03;13,9;1,5
Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré, au L Casei;77,040;2,76;12,9;1,6
Lait fermenté ou spécialité laitière type yaourt, aux fruits, avec édulcorants, 0% MG, au bifidus;46,366;4,67;6,71;0,094
Lait fermenté ou spécialité laitière type yaourt, aux fruits, 0% MG, avec édulcorants, aux esters de stérol;46,420;3,88;6,6;0,5
Lait fermenté ou spécialité laitière type yaourt, nature, 0% MG, au bifidus;43,260;4,39;5,75;0,3
Lait fermenté ou spécialité laitière type yaourt, sur lit de fruits, sucré, au bifidus;92,920;3,81;13,3;2,72
Yaourt à la grecque, sur lit de fruits;131,140;2,31;16,3;6,3
Yaourt au lait de brebis, nature, 3% MG environ;68,280;5,72;4,6;3
Yaourt, lait fermenté ou spécialité laitière sur lit de fruits, sucré;107,790;2,95;15,2;3,91
Yaourt, lait fermenté ou spécialité laitière, aux céréales, 0% MG;61,240;4,63;8,25;1,08
Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, à la crème;114,970;3,08;13,4;5,45
Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, enrichi en vitamine D;84,230;3,43;13,6;1,79
Yaourt, lait fermenté ou spécialité laitière, aux céréales;90,630;3,64;11,3;3,43
Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG, enrichi en vitamine D;48,833;4,54;7,45;0,097
Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, enrichi en vitamine D;91,190;3,51;14;2,35
Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG, enrichi en vitamine D;38,360;4,59;5;0
Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG, sucré, enrichi en vitamine D;49,770;4,41;5,4;1,17
Yaourt à la grecque, nature;113,100;3,32;4,21;9,22
Yaourt à la grecque, aromatisé, sucré;142,160;4,29;12,8;8,2
Kéfir de lait;62,260;3,19;4,5;3,5
Yaourt au lait de brebis, nature, 6% MG environ;93,520;5,14;4,56;6,08
Fromage frais type petit suisse, aromatisé chocolat, sucré;146,020;3,95;20,9;5,18
Faisselle au coulis de fruits;93,280;3,57;8,5;5
Faisselle, 0% MG;35,640;4,47;4,44;0
Fromage blanc et crème fouettée sur lit de fruits, sucré;145,360;4,59;16;7
Fromage blanc nature, 0% MG, enrichi en vitamine D;51,100;7,55;5;0,1
Fromage blanc nature, 3% MG environ, au bifidus;74,040;7,19;3,94;3,28
Fromage blanc nature, 3% MG environ, enrichi en vitamine D;78,560;7,04;5,4;3,2
Fromage blanc ou spécialité laitière nature et crème fouetté, 10% MG environ;134,320;6,89;3,74;10,2
Fromage blanc ou spécialité laitière, aromatisé, sucré, 0% MG;78,480;7,12;12,5;0,000
Fromage blanc ou spécialité laitière, aromatisé, sucré, 3% MG environ;101,810;6,39;13,1;2,65
Fromage blanc ou spécialité laitière, aromatisé, sucré, 3% MG environ, au bifidus;107,120;5,58;14;3,2
Fromage blanc ou spécialité laitière, aux copeaux de chocolat, sucré, 7% MG environ;139,890;5,34;16,2;5,97
Fromage blanc ou spécialité laitière, aux fruits, avec édulcorants, allégé en sucres, 0% MG;53,080;6,24;6,76;0,12
Fromage blanc ou spécialité laitière, aux fruits, sucré, 0% MG;85,720;7,93;13,5;0,000
Fromage blanc ou spécialité laitière, aux fruits, sucré, 3% MG environ;109,510;5,23;14,7;3,31
Fromage blanc ou spécialité laitière, aux fruits, sucré, 3% MG environ, au bifidus;102,260;5,36;13,5;2,98
Fromage blanc ou spécialité laitière, aux fruits, sucré, gourmand, 7% MG environ;124,090;5,18;13,4;5,53
Fromage frais type petit suisse, aux fruits, 2-3% MG, enrichi en calcium et vitamine D;98,150;6,42;12,2;2,63
Fromage frais type petit suisse, nature, 0% MG;56,920;9,89;3,8;0,24
Mousse de fromage blanc sur lit de fruits, 0% MG, avec édulcorants, enrichie en calcium et vitamine D;53,970;6,48;6;0,45
Fromage blanc ou spécialité laitière, aux fruits, avec édulcorants, allégé en sucres, 3% MG environ;83,940;3,16;12,2;2,5
Lait emprésuré aromatisé, rayon frais;115,420;5,63;17,6;2,5
Lait gélifié aromatisé, rayon frais;123,330;3,39;19,5;3,53
Liégeois ou viennois (chocolat, café, caramel ou vanille), rayon frais;139,220;3;18,8;5,78
Lait gélifié aromatisé, allégé en matière grasse et en sucre, rayon frais;73,600;4,17;11,8;1,08
Fondant au chocolat noir et crème anglaise, préemballé;228,900;5,05;20;14,3
Pecorino;259,200;0,000;0,000;28,8
Fromage fondu en portions ou en cubes environ 8% MG;113,320;11,5;0,000;7,48
Spécialité fromagère fondante au fromage blanc et aux noix;344,000;10,7;4,2;31,6
Snack pour enfants à base de fromage fondu et de gressins;309,700;10,8;24,1;18,9
Fromage 100% brebis (Feta AOP ou type Feta);274,400;14,8;2,5;22,8
Spécialité fromagère non affinée environ 20% MG, type fromage en barquette à tartiner ou coque fromagère;227,000;7,65;1,4;21,2
Fromage de chèvre frais, au lait pasteurisé (type bûchette fraîche);252,720;16,1;2,08;20
Fromage de chèvre frais, au lait cru (type palet ou crottin frais);212,620;13,1;2,03;16,9
Fromage de chèvre frais, au lait pasteurisé ou cru (type crottin frais ou bûchette fraîche);232,200;14,6;2,05;18,4
Fromage de chèvre à tartiner, nature;162,640;10,8;2,41;12,2
Mascarpone;384,520;4,38;4;39
Ricotta;158,260;8,79;4;11,9
Crème d'Isigny AOP, >= 35% MG;381,320;2,33;3;40
Crème de lait, 15 à 20% MG, légère, fluide, rayon frais;150,540;2,96;4,3;13,5
Jus multifruit, pur jus, multivitaminé;48,020;0,48;11,3;0,1
Jus de carotte, pur jus;28,700;0,4;6,55;0,1
Jus de citron, maison;13,760;0,49;2,41;0,24
Jus multifruit - base orange, multivitaminé;46,800;0,000;11,7;0,000
Jus d'orange, maison;42,200;0,7;9,4;0,2
Jus de grenade, pur jus;55,210;0,15;13;0,29
Jus de pruneau;76,631;0,37;18,7;0,039
Jus de mangue, frais;38,760;0,19;9,5;0
Jus de fruit de la passion ou maracudja, frais;61,500;0,67;14,3;0,18
Jus de pamplemousse (pomélo), maison;39,300;0,5;9,1;0,1
Jus de citron, pur jus;28,610;0,4;6,1;0,29
Jus de citron vert, maison;9,070;0,42;1,69;0,07
Jus de citron vert, pur jus;8,030;0,25;1,24;0,23
Jus multifruit, à base de jus et purée de fruits;48,830;0,46;11,5;0,11
Jus de clémentine ou mandarine, pur jus;46,300;0,66;10,6;0,14
Jus multifruit - base raisin, standard;54,000;0,5;13;0
Jus multifruit - base orange, standard;45,840;0,7;10,4;0,16
Jus de grenade, frais;47,200;0,2;11,6;0
Jus multifruit - base pomme, standard;50,120;0,33;12,2;0,000
Jus multifruit - base pomme, multivitaminé;45,320;0,33;11;0,000
Jus de fruit(s) et de légume(s), pur jus;41,400;0,85;9,5;0,000
Jus multifruit, à base de concentré, standard;48,230;0,52;11,2;0,15
Jus multifruit, à base de concentré, multivitaminé;45,179;0,29;10,8;0,091
Jus d'orange sanguine, pur jus;44,220;0,63;10,2;0,1
Smoothie;54,420;0,62;12,4;0,26
Nectar multifruit - base pomme, standard;41,120;0,28;10;0,000
Nectar multifruit - base pomme, multivitaminé;36,400;0,000;9,1;0,000
Nectar d'abricot;55,910;0,21;13,7;0,03
Nectar de papaye;57,630;0,17;13,9;0,15
Nectar de poire;60,347;0,19;14,8;0,043
Nectar multifruit, multivitaminé;47,060;0,24;11,3;0,1
Nectar multifruit - base orange, multivitaminé;46,000;0,4;11,1;0,000
Nectar multifruit - base orange, standard;51,080;0,3;12,2;0,12
Nectar, avec édulcorants, allégé en sucres;22,933;0,18;5,47;0,037
Nectar de pomme;44,835;0,14;10,9;0,075
Nectar de fruit de la passion ou maracuja;62,900;0,3;15,2;0,1
Nectar de banane;55,752;0,23;13,6;0,048
Nectar de goyave;47,200;0,14;11,3;0,16
Nectar de mangue;50,747;0,2;12,3;0,083
Nectar de pêche;49,730;0,22;12,1;0,05
Nectar d'ananas;52,400;0,1;13;0
Nectar d'orange;37,040;0,29;8,79;0,08
Boisson gazeuse, sans jus de fruit, non sucrée, avec édulcorants;0,840;0,05;0,16;0,000
Limonade, sucrée;34,140;0,04;8,45;0,02
Boisson à l'eau minérale ou de source, aromatisée, sucrée;15,038;0,086;3,48;0,086
Tonic ou bitter, non sucré, avec édulcorants;1,800;0,05;0,4;0,000
Tonic ou bitter, sucré, avec édulcorants;25,800;0;6,45;0
Boisson au thé, aromatisée, sucrée, avec édulcorants;21,200;0;5,3;0
Limonade, sucrée, avec édulcorants;12,000;0;3;0
Boisson plate aux fruits, (à moins de 10% de jus), non sucrée, avec édulcorants;5,250;0,06;0,96;0,13
Boisson plate aux fruits (à moins de 10% de jus), sucrée;18,900;0,1;4,4;0,1
Boisson plate aux fruits (10 à 50% de jus de jus), sucrée, avec édulcorants;24,680;0;6,17;0
Boisson à l'eau minérale ou de source, aromatisée, non sucrée, sans édulcorant;0,800;0,06;0,14;0
Boisson à l'eau minérale ou de source, aromatisée, non sucrée, avec édulcorants;2,238;0,086;0,28;0,086
Boisson gazeuse aux fruits (à moins de 10% de jus), sucrée, avec édulcorants;28,000;0,000;7;0,000
Boisson gazeuse aux fruits (de 10 à 50% de jus), sucrée, avec édulcorants;15,588;0,067;3,83;0
Limonade, non sucrée, avec édulcorants;0,668;0,067;0,1;0
Cola, sucré, avec édulcorants;26,667;0,0093;6,65;0,0033
Diabolo (limonade et sirop);42,700;0,075;10,6;0,000
Boisson gazeuse aux fruits (à moins de 10% de jus), sucrée;40,663;0,081;9,97;0,051
Boisson gazeuse aux fruits (de 10 à 50% de jus), non sucrée, avec édulcorants;5,978;0,073;1,39;0,014
"Boisson préparée à partir de boisson concentrée à diluer, non sucrée, avec édulcorants, type ""sirop 0%"", diluée dans l'eau";9,680;0,000;2,42;0
Boisson préparée à partir de sirop à diluer type menthe, fraise, etc, sucré, dilué dans l'eau;31,020;0,055;7,7;0
Boisson au thé, aromatisée, à teneur réduite en sucres;0,000;0;0,000;0
Boisson au thé, aromatisée, non sucrée, avec édulcorants;1,416;0,014;0,34;0
Boisson gazeuse, sans jus de fruit, sucrée, avec édulcorants;27,200;0;6,8;0
Boisson plate aux fruits (10 à 50% de jus), à teneur réduite en sucres;20,786;0,014;5,16;0,01
Boisson plate aux fruits (teneur en jus non spécifiée), sucrée;45,830;0,1;11,2;0,07
Boisson plate aux fruits (10 à 50% de jus), sucrée;41,460;0,13;10,1;0,06
Boisson gazeuse aux fruits (à moins de 10% de jus), non sucrée, avec édulcorants;3,222;0,063;0,45;0,13
Boisson gazeuse à la pomme (de 50 à 99% de fruits), non sucrée;30,000;0;7,5;0
Tonic ou bitter, sucré;33,986;0,068;8,28;0,066
Boisson gazeuse aux fruits (à moins de 10% de jus), non sucrée, sans édulcorant;16,680;0;4,17;0
Boisson énergisante, sucrée;48,400;0,2;11,9;0
Boisson énergisante, non sucrée, avec édulcorants;4,992;0,073;0,95;0,1
Boisson plate aux fruits (10 à 50% de jus), non sucrée, avec édulcorants;6,900;0,1;1,4;0,1
Poudre maltée, cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines et minéraux;402,470;9,9;79,4;5,03
Vin doux;42,800;0,2;10,5;0
Pétillant de fruits;27,800;0;6,95;0
Vin blanc mousseux;6,800;0;1,7;0
Champagne;12,440;0,3;2,81;0
Vin blanc mousseux aromatisé;21,200;0,2;5,1;0
Vin blanc (sec);16,160;0,000;4,04;0
Vin rosé;6,400;0;1,6;0
Bière brune;18,120;0,43;4,1;0,000
"Bière ""coeur de marché"" (4-5° alcool)";12,360;0,39;2,7;0
Bière forte (>8° alcool);20,920;0,63;4,6;0
Cidre brut;10,480;0;2,62;0
Bière faiblement alcoolisée (3° alcool);19,720;0,31;4,62;0,000
"Bière ""spéciale"" (5-6° alcool)";20,120;0,48;4,55;0,000
"Bière ""de spécialités"" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable)";15,320;0,63;3,2;0
Cidre traditionnel;7,480;0;1,87;0
Apéritif à base de vin ou vermouth;45,416;0,054;11,3;0
Apéritif anisé sans alcool;4,000;0;1;0
Eau de vie, type calvados;0,000;0;0;0
Cocktail à base de rhum;109,710;0;22,5;2,19
Cocktail à base de whisky;63,780;0;15,9;0,02
Sangria;41,650;0;10,3;0,05
Kir (au vin blanc);30,160;0,18;7,36;0
Kir royal (au champagne);32,880;0,25;7,97;0
Cocktail type punch, 16% alcool;73,600;0,6;17,8;0,000
Cocktail sans alcool (à base de jus de fruits et de sirop);53,200;0,5;12,8;0
Édulcorant à l'aspartame, en poudre;381,320;0,63;94,7;0,000
Vermicelles multicolores;419,000;0,5;93;5
Miel;329,040;0,56;81,7;0
Sucre blanc;399,200;0;99,8;0
Sucre roux;389,680;0,12;97,3;0
Sirop d'érable;269,100;0,04;67,1;0,06
Sucre vanillé;399,370;0,1;99;0,33
Caramel liquide ou nappage caramel;324,000;0;81;0
Édulcorant à la saccharine;360,200;1,25;88,8;0
Mélasse de canne;299,700;0;74,7;0,1
Sucre allégé à l'aspartame;398,040;0,81;98,7;0
Fructose;399,200;0;99,8;0
Sirop d'agave;316,900;0,000;78,1;0,5
Chocolat noir à moins de 70% de cacao, à croquer, tablette;502,320;6,63;42,9;33,8
Chocolat au lait aux céréales croustillantes, tablette;510,400;7,15;60,6;26,6
Chocolat blanc, tablette;560,840;6,16;57,1;34,2
Chocolat au lait aux fruits secs (noisettes, amandes, raisins, praline), tablette;551,620;8,43;48,7;35,9
Chocolat blanc aux fruits secs (noisettes, amandes, raisins, praliné) , tablette;574,460;7,64;48;39,1
Pâte à tartiner chocolat et noisette;543,280;5,02;57,9;32,4
Bouchée chocolat fourrage fruits à coques et/ou praliné;554,700;9,1;51,5;34,7
Rocher chocolat fourré praliné;549,420;6,53;51,4;35,3
Chocolat noir aux fruits (orange, framboise, poire), tablette;518,000;6,8;45,3;34,4
Chocolat noir fourrage confiseur à la menthe;437,600;2,9;70,5;16
Barre goûter frais au lait et chocolat;447,740;6,81;41;28,5
Chocolat au lait fourré;606,200;4,8;45,5;45
Chocolat noir fourré praliné, tablette;548,320;6,38;52,4;34,8
Chocolat au lait fourré au praliné, tablette;554,860;7,29;52,9;34,9
Chocolat noir à 40% de cacao minimum, à pâtisser, tablette;529,060;6,39;51,4;33,1
Bonbon / bouchée au chocolat fourrage gaufrettes / biscuit;511,000;6,5;55,1;29,4
Barre goûter frais au lait et chocolat avec génoise;490,520;6,68;39;34,2
Bonbons, tout type;409,880;1,75;86,5;6,32
Zeste d'orange confit;333,400;0,2;82,7;0,2
Nougat ou touron;508,320;7,88;62,5;25,2
Dragée amande;470,400;5;73,9;17,2
Guimauve ou marshmallow;342,260;3,67;78,7;1,42
Bonbon dur et sucette;384,750;0,000;95,4;0,35
Bonbon gélifié;348,170;6,28;80,2;0,25
Bonbon au caramel, mou;418,960;2,95;83,7;8,04
Guimauve ou marshmallow, enrobé de chocolat;376,100;4,65;66,2;10,3
Bonbon dur au caramel;348,840;1,21;72,5;6
Confiture de cerise (extra ou classique);246,560;0,38;60,9;0,16
Confiture de lait;306,850;6,45;58;5,45
Confiture de prune (extra ou classique);239,180;0,27;59,3;0,1
Confiture de framboise (extra ou classique);247,770;0,47;61;0,21
Préparation de fruits divers (en taux de sucres : confitures allégées en sucres < préparations de fruits < confitures);178,530;0,49;43,4;0,33
Gelée de fruits divers (extra ou classique);249,330;0,35;61,6;0,17
Tartine craquante, extrudée et grillée, fourrée au chocolat;432,600;7,85;64,3;16
Tartine craquante, extrudée et grillée, fourrée aux fruits;376,400;4,91;74,7;6,44
Macaron sec;430,200;6,9;77,7;10,2
Biscuit sec, sans précision;473,000;6,9;65;20,6
Biscuit sec nature;442,980;6,77;70;15,1
Biscuit sec à teneur garantie en vitamines;456,720;9,63;72,6;14,2
Biscuit sec à teneur garantie en vitamines et minéraux;469,000;10,8;61,9;19,8
Biscuit sec aux fruits, hyposodé;431,000;10,8;61,4;15,8
Biscuit sec aux fruits hyposodé, sans sucres ajoutés;467,500;22,7;47,6;20,7
Biscuit sec croquant au chocolat, allégé en matière grasse;403,000;7;69;11
Biscuit sec fourré aux fruits, allégé en matière grasse;384,760;4,69;75,3;7,2
Spéculoos;477,060;5,94;69;19,7
Biscuit sec, avec matière grasse végétale;433,920;7,23;74,7;11,8
Biscuit sec, petits fours en assortiment;508,960;6,44;61,4;26,4
Biscuit sec petit beurre;439,140;8,06;74,5;12,1
Biscuit sec avec tablette de chocolat;496,580;6,62;63,3;24,1
Biscuit sec petit beurre au chocolat;457,160;7,19;71,1;16
Biscuit sec au lait;432,100;8,25;73,9;11,5
Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse;422,120;5,63;80,1;8,8
Biscuit sec pour petit déjeuner;441,140;7,81;65,8;16,3
Biscuit sec pour petit déjeuner, allégé en sucres;439,920;7,68;66,3;16
Biscuit sec chocolaté, préemballé;514,620;6,43;61,7;26,9
Biscuit sec fourré à la pâte ou purée de fruits;376,510;4,43;69,2;9,11
Biscuit sec avec nappage chocolat;500,320;6,93;61,9;25
Barre biscuitée fourrée aux fruits, allégée en matière grasse;380,160;3,32;75,7;7,12
Biscuit sec pour petit déjeuner, au chocolat;454,200;6,5;69,7;16,6
Biscuit sec au beurre, sablé, galette ou palet;489,100;6,4;64,8;22,7
Biscuit sec au beurre, sablé, galette ou palet, au chocolat;498,260;6,64;61;25,3
Biscuit sec chocolaté, type barquette;478,360;7,39;60,9;22,8
Biscuit sec chocolaté, type tartelette;499,600;6,65;60,2;25,8
Biscuit sec chocolaté, type galette;493,660;6,84;63,7;23,5
Biscuit sec, sablé, galette ou palet, aux fruits;467,820;5,93;67,6;19,3
Biscuit pâtissier meringué;529,980;7,42;56;30,7
Sablé à la noix de coco;475,300;7,1;66,5;20,1
Sablé pâtissier, artisanal;477,220;8,38;59,4;22,9
Sablé aux fruits (pomme, fruits rouges, etc.);477,300;5,85;66;21,1
Sablé au cacao ou chocolat, au praliné ou autre;492,720;6,63;61,2;24,6
"Goûter sec fourré (""sandwiché"") parfum lait ou vanille";473,640;5,36;71,2;18,6
"Goûter sec fourré (""sandwiché"") parfum chocolat";460,400;6,7;67,9;18
"Goûter sec fourré (""sandwiché"") parfum fruits";476,360;6,64;73,3;17,4
Gaufrette ou éventail sans fourrage;415,200;9;76,8;8
Gaufrette fourrée chocolat, préemballée;522,520;6,38;57,2;29,8
Gaufrette fourrée fruits à coque (noisette, amande, praline, etc.), chocolatée ou non, préemballée;505,240;7,31;59,6;26,4
Gaufrette fourrée, aux fruits;361,540;4,43;82,4;1,58
Cigarette;520,660;5,29;63;27,5
Crêpe dentelle;452,980;6,27;72,1;15,5
Crêpe dentelle au chocolat, préemballée;491,440;5,91;67,9;21,8
Biscuit sec aux oeufs à la cuillère (cuiller) ou Boudoir;385,450;7,98;79,9;3,77
Biscuit sec type langue de chat ou cigarette russe;430,540;5,66;77,9;10,7
Meringue;393,640;4,11;94,3;0,000
Biscuit sec feuilleté, type palmier ou autres;514,800;6,1;60,5;27,6
Palmier, artisanal;489,920;5,93;53,1;28,2
Biscuit sec nappé aux fruits, tartelette;431,800;4,7;71,3;14,2
Biscuit moelleux fourré à l'orange et enrobé de sucre glace;351,480;4,25;79,3;1,92
Cookie aux pépites de chocolat;494,980;6,47;59;25,9
Cône ou cornet classique, pour glace;396,600;7,5;80,4;5
Génoise sèche fourrée aux fruits et nappée de chocolat;386,320;3,23;69,5;10,6
Biscuit sec pauvre en glucides;424,900;20,8;43,8;18,5
Muesli croustillant, au quinoa;420,780;9,92;71,2;10,7
Barre céréalière chocolatée aux fruits;410,600;5,7;70,4;11,8
Gâteau Paris-Brest (pâte à choux crème mousseline praliné);350,260;5,44;26,1;24,9
Gâteau au chocolat type forêt noire (génoise au chocolat et crème multi-couches, avec ou sans cerises);324,320;4,13;34,2;19
Gâteau mousse de fruits sur génoise, type miroir, bavarois;251,680;3,87;31,6;12,2
Entremets type Opéra;395,160;5,19;39,6;24
Fraisier ou framboisier;259,540;3,31;26,7;15,5
